Rank,Athlete,Nation,D,E,ND,Total
1,Larisa Iordache,Romania,6.1,7.366,,13.466
2,Sanne Wevers,Netherlands,5.3,8.133,,13.433
3,Amelie Morgan,Great Britain,5.4,8.033,,13.433
4,Lieke Wevers,Netherlands,5.2,8.2,,13.4
5,Martina Maggio,Italy,5.2,8.166,,13.366
6,Mélanie De Jesus Dos Santos,France,5.4,7.966,,13.366
7,Elina Vihrova,Latvia,5.2,8.033,,13.233
8,Marine Boyer,France,5.5,7.733,,13.233
9,Marta Pihan-Kulesza,Poland,5.4,7.733,,13.133
10,Anastasiia Bachynska,Ukraine,5.6,7.533,,13.133
11,Vladislava Urazova,Russia,5.6,7.433,,13.033
12,Maria Ceplinschi,Romania,4.9,8.033,,12.933
13,Carolann Heduit,France,5.1,7.833,,12.933
14,Sheyen Petit,France,5.3,7.566,,12.866
15,Filipa Martins,Portugal,5.2,7.6,,12.8
16,Viktoria Listunova,Russia,5.6,7.2,,12.8
17,Phoebe Jakubczyk,Great Britain,4.9,7.8,,12.7
18,Alice Kinsella,Great Britain,5.5,7.266,-0.1,12.666
19,Vanessa Ferrari,Italy,5.1,7.633,-0.1,12.633
20,Tonya Paulsson,Sweden,5,7.6,,12.6
21,Emma Malewski,Germany,5.5,7.1,,12.6
21,Giorgia Villa,Italy,5.5,7.1,,12.6
23,Göksu Üctas Sanli,Turkey,5.1,7.466,,12.566
24,Ada Hautala,Finland,4.9,7.566,,12.466
25,Angelina Melnikova,Russia,5.2,7.266,,12.466
26,Brygida Urbanska,Poland,4.9,7.533,,12.433
27,Kim Bui,Germany,4.9,7.525,,12.425
28,Naomi Visser,Netherlands,5.2,7.3,-0.1,12.4
29,Zsofia Kovacs,Hungary,5.5,6.9,,12.4
30,Aneta Holasova,Czech Republic,4.7,7.666,-0.1,12.266
31,Lihie Raz,Israel,5.2,7.066,,12.266
32,Zoja Szekely,Hungary,4.7,7.533,,12.233
33,Barbora Mokosova,Slovakia,4.2,7.966,,12.166
34,Maisa Kuusikko,Finland,4.7,7.433,,12.133
35,Elisabeth Seitz,Germany,4.9,7.233,,12.133
36,Jennifer Williams,Sweden,5.2,6.933,,12.133
37,Marlies Männersdorfer,Austria,4.4,7.7,,12.1
38,Csenge Bacskay,Hungary,4.7,7.366,,12.066
39,Emma Slevin,Ireland,5,7.033,,12.033
40,Mali Neurauter,Norway,4.6,7.4,,12
41,Giulia Steingruber,Switzerland,5,7,,12
42,Bilge Tarhan,Turkey,5.1,6.766,,11.866
43,Fien Enghels,Belgium,4.8,6.933,,11.733
44,Tisha Volleman,Netherlands,5.3,6.433,,11.733
45,Illy Ezra,Israel,5,6.708,,11.708
46,Nanna Gudmundsdottir,Iceland,4.9,6.8,,11.7
47,Stefanie Siegenthaler,Switzerland,5,6.7,,11.7
48,Margaux Daveloose,Belgium,5.1,6.6,,11.7
